Portal,updated_at,name,plan_type,effective_price
Falabella,2025-08-01 10:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 10:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 10:00:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 10:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 10:00:02,Sura,Full Cobertura,36628.0
Falabella,2025-08-01 10:00:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 10:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 10:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 10:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 10:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 10:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 10:30:02,Sura,Full Cobertura,41084.0
Falabella,2025-08-01 10:30:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 10:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 11:00:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 11:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 11:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 11:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 11:00:02,Sura,Full Cobertura,38635.0
Falabella,2025-08-01 11:00:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 11:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 11:30:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 11:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 11:30:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 11:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 11:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 11:30:01,Sura,Full Cobertura,43463.0
Falabella,2025-08-01 11:30:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 11:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 12:00:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 12:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 12:00:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 12:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 12:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 12:00:01,Sura,Full Cobertura,41100.0
Falabella,2025-08-01 12:00:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 12:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 12:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 12:30:01,Consorcio,Full Cobertura,37414.0
