date,portal,insurer,runs_present,runs_total,presence_pct,below_threshold
2025-08-07,Santander,Consorcio,47,48,97.9167,False
2025-08-07,Santander,Fid,40,48,83.3333,False
2025-08-07,Santander,Hdi,46,48,95.8333,False
2025-08-07,Santander,Mapfre,48,48,100.0,False
2025-08-07,Santander,REALE,48,48,100.0,False
2025-08-07,Santander,Sura,48,48,100.0,False
2025-08-07,Santander,ZURICH,45,48,93.75,False
2025-08-07,Santander,Zenit,36,48,75.0,True
2025-08-08,Falabella,Bci,45,48,93.75,False
2025-08-08,Falabella,Cardif,48,48,100.0,False
2025-08-08,Falabella,Consorcio,48,48,100.0,False
2025-08-08,Falabella,Fid,44,48,91.6667,False
2025-08-08,Falabella,Hdi,48,48,100.0,False
2025-08-08,Falabella,Sura,48,48,100.0,False
2025-08-08,Falabella,Zenit,48,48,100.0,False
2025-08-08,Falabella,Zurich,48,48,100.0,False
2025-08-08,Santander,Consorcio,41,46,89.1304,False
2025-08-08,Santander,Fid,41,46,89.1304,False
2025-08-08,Santander,Hdi,41,46,89.1304,False
2025-08-08,Santander,Mapfre,40,46,86.9565,False
2025-08-08,Santander,REALE,39,46,84.7826,False
2025-08-08,Santander,Sura,43,46,93.4783,False
2025-08-08,Santander,ZURICH,41,46,89.1304,False
2025-08-08,Santander,Zenit,40,46,86.9565,False
2025-08-09,Falabella,Bci,35,48,72.9167,True
2025-08-09,Falabella,Cardif,47,48,97.9167,False
2025-08-09,Falabella,Consorcio,48,48,100.0,False
2025-08-09,Falabella,Fid,46,48,95.8333,False
2025-08-09,Falabella,Hdi,39,48,81.25,False
2025-08-09,Falabella,Sura,46,48,95.8333,False
2025-08-09,Falabella,Zenit,36,48,75.0,True
2025-08-09,Falabella,Zurich,47,48,97.9167,False
2025-08-09,Santander,Consorcio,47,48,97.9167,False
2025-08-09,Santander,Fid,44,48,91.6667,False
2025-08-09,Santander,Hdi,39,48,81.25,False
2025-08-09,Santander,Mapfre,47,48,97.9167,False
2025-08-09,Santander,REALE,47,48,97.9167,False
2025-08-09,Santander,Sura,46,48,95.8333,False
2025-08-09,Santander,ZURICH,47,48,97.9167,False
2025-08-09,Santander,Zenit,35,48,72.9167,True
2025-08-10,Falabella,Bci,44,48,91.6667,False
2025-08-10,Falabella,Cardif,48,48,100.0,False
2025-08-10,Falabella,Consorcio,47,48,97.9167,False
2025-08-10,Falabella,Fid,46,48,95.8333,False
2025-08-10,Falabella,Hdi,48,48,100.0,False
2025-08-10,Falabella,Sura,48,48,100.0,False
2025-08-10,Falabella,Zenit,43,48,89.5833,False
2025-08-10,Falabella,Zurich,47,48,97.9167,False
2025-08-10,Santander,Consorcio,48,48,100.0,False
2025-08-10,Santander,Fid,44,48,91.6667,False
2025-08-10,Santander,Hdi,46,48,95.8333,False
2025-08-10,Santander,Mapfre,47,48,97.9167,False
2025-08-10,Santander,REALE,48,48,100.0,False
2025-08-10,Santander,Sura,48,48,100.0,False
2025-08-10,Santander,ZURICH,48,48,100.0,False
2025-08-10,Santander,Zenit,45,48,93.75,False
2025-08-11,Falabella,Bci,45,48,93.75,False
2025-08-11,Falabella,Cardif,48,48,100.0,False
2025-08-11,Falabella,Consorcio,47,48,97.9167,False
2025-08-11,Falabella,Fid,42,48,87.5,False
2025-08-11,Falabella,Hdi,48,48,100.0,False
2025-08-11,Falabella,Sura,45,48,93.75,False
2025-08-11,Falabella,Zenit,44,48,91.6667,False
2025-08-11,Falabella,Zurich,47,48,97.9167,False
2025-08-11,Santander,Consorcio,38,44,86.3636,False
2025-08-11,Santander,Fid,36,44,81.8182,False
2025-08-11,Santander,Hdi,37,44,84.0909,False
