run_id,portal,scraped_at,insurers_returned,rows,status
172,Falabella,2025-08-04 09:30:02,7,7,success
173,Falabella,2025-08-04 10:00:01,7,7,success
174,Falabella,2025-08-04 10:30:01,8,8,success
175,Falabella,2025-08-04 11:00:01,8,8,success
176,Falabella,2025-08-04 11:30:01,8,8,success
177,Falabella,2025-08-04 12:00:01,8,8,success
178,Falabella,2025-08-04 12:30:01,8,8,success
179,Falabella,2025-08-04 13:00:02,7,7,success
180,Falabella,2025-08-04 13:30:02,8,8,success
181,Falabella,2025-08-04 14:00:02,8,8,success
182,Falabella,2025-08-04 14:30:02,8,8,success
183,Falabella,2025-08-04 15:00:02,8,8,success
184,Falabella,2025-08-04 15:30:01,8,8,success
185,Falabella,2025-08-04 16:00:01,8,8,success
186,Falabella,2025-08-04 16:30:01,7,7,success
187,Falabella,2025-08-04 17:00:01,8,8,success
188,Falabella,2025-08-04 17:30:01,7,7,success
189,Falabella,2025-08-04 18:00:01,7,7,success
190,Falabella,2025-08-04 18:30:01,7,7,success
191,Falabella,2025-08-04 19:00:02,8,8,success
192,Falabella,2025-08-04 19:30:02,8,8,success
193,Falabella,2025-08-04 20:00:02,7,7,success
194,Falabella,2025-08-04 20:30:02,7,7,success
195,Falabella,2025-08-04 21:00:02,6,6,success
196,Falabella,2025-08-04 21:30:02,8,8,success
197,Falabella,2025-08-04 22:00:02,8,8,success
198,Falabella,2025-08-04 22:30:01,7,7,success
199,Falabella,2025-08-04 23:00:01,8,8,success
200,Falabella,2025-08-04 23:30:01,8,8,success
201,Falabella,2025-08-05 00:00:01,8,8,success
202,Falabella,2025-08-05 00:30:01,8,8,success
203,Falabella,2025-08-05 01:00:01,7,7,success
204,Falabella,2025-08-05 01:30:01,5,5,success
205,Falabella,2025-08-05 02:00:02,7,7,success
206,Falabella,2025-08-05 02:30:02,7,7,success
207,Falabella,2025-08-05 03:00:02,8,8,success
208,Falabella,2025-08-05 03:30:02,7,7,success
209,Falabella,2025-08-05 04:00:02,8,8,success
210,Falabella,2025-08-05 04:30:01,8,8,success
211,Falabella,2025-08-05 05:00:01,7,7,success
212,Falabella,2025-08-05 05:30:01,7,7,success
213,Falabella,2025-08-05 06:00:01,7,7,success
214,Falabella,2025-08-05 06:30:01,6,6,success
215,Falabella,2025-08-05 07:00:02,8,8,success
216,Falabella,2025-08-05 07:30:02,7,7,success
217,Falabella,2025-08-05 08:00:02,7,7,success
218,Falabella,2025-08-05 08:30:02,8,8,success
219,Falabella,2025-08-05 09:00:02,8,8,success
220,Falabella,2025-08-05 09:30:01,8,8,success
221,Falabella,2025-08-05 10:00:01,7,7,success
222,Falabella,2025-08-05 10:30:01,8,8,success
223,Falabella,2025-08-05 11:00:01,8,8,success
224,Falabella,2025-08-05 11:30:01,8,8,success
225,Falabella,2025-08-05 12:00:01,7,7,success
226,Falabella,2025-08-05 12:30:02,8,8,success
227,Falabella,2025-08-05 13:00:02,8,8,success
228,Falabella,2025-08-05 13:30:02,7,7,success
229,Falabella,2025-08-05 14:00:02,7,7,success
230,Falabella,2025-08-05 14:30:01,8,8,success
231,Falabella,2025-08-05 15:00:01,8,8,success
232,Falabella,2025-08-05 15:30:01,8,8,success
233,Falabella,2025-08-05 16:00:01,7,7,success
234,Falabella,2025-08-05 16:30:01,8,8,success
235,Falabella,2025-08-05 17:00:01,8,8,success
236,Falabella,2025-08-05 17:30:01,8,8,success
237,Falabella,2025-08-05 18:00:05,8,8,success
238,Falabella,2025-08-05 18:30:01,8,8,success
239,Falabella,2025-08-05 19:00:01,8,8,success
240,Falabella,2025-08-05 19:30:01,8,8,success
241,Falabella,2025-08-05 20:00:02,8,8,success
242,Falabella,2025-08-05 20:30:02,7,7,success
243,Falabella,2025-08-05 21:00:02,8,8,success
244,Falabella,2025-08-05 21:30:02,8,8,success
245,Falabella,2025-08-05 22:00:01,7,7,success
246,Falabella,2025-08-05 22:30:01,6,6,success
247,Falabella,2025-08-05 23:00:01,6,6,success
248,Falabella,2025-08-05 23:30:01,8,8,success
249,Falabella,2025-08-06 00:00:01,8,8,success
