date,portal,insurer,mean,median,std,p10,p90,min_price,max_price,n_obs,cv
2025-08-10,Falabella,Hdi,37967.02,37970.0,4.94,37959.0,37970.0,37959.0,37970.0,48,0.013
2025-08-10,Falabella,Sura,35184.79,33811.0,2749.3,33802.0,39464.9,33802.0,43035.0,48,7.8139
2025-08-10,Falabella,Zenit,44621.67,44625.0,5.74,44612.0,44625.0,44612.0,44625.0,43,0.0129
2025-08-10,Falabella,Zurich,32145.23,32148.0,4.52,32138.0,32148.0,32138.0,32148.0,47,0.0141
2025-08-10,Santander,Consorcio,51168.94,51173.0,6.74,51158.0,51173.0,51158.0,51173.0,48,0.0132
2025-08-10,Santander,Fid,42852.75,42856.0,5.69,42843.0,42856.0,42843.0,42856.0,44,0.0133
2025-08-10,Santander,Hdi,38459.89,38463.0,5.01,38452.0,38463.0,38452.0,38463.0,46,0.013
2025-08-10,Santander,Mapfre,37827.45,37830.0,4.41,37820.0,37830.0,37820.0,37830.0,47,0.0117
2025-08-10,Santander,REALE,37263.02,37266.0,4.94,37255.0,37266.0,37255.0,37266.0,48,0.0133
2025-08-10,Santander,Sura,25553.1,25555.0,3.14,25548.0,25555.0,25548.0,25555.0,48,0.0123
2025-08-10,Santander,ZURICH,32808.29,32811.0,4.49,32801.0,32811.0,32801.0,32811.0,48,0.0137
2025-08-10,Santander,Zenit,26394.87,26397.0,3.58,26389.0,26397.0,26389.0,26397.0,45,0.0136
2025-08-11,Falabella,Bci,45344.98,48540.0,6591.54,38843.0,52893.0,38843.0,52893.0,45,14.5364
2025-08-11,Falabella,Cardif,33538.33,32128.0,1501.84,32128.0,35240.0,32128.0,35240.0,48,4.478
2025-08-11,Falabella,Consorcio,38337.0,33016.0,5630.26,33016.0,45045.0,33016.0,45045.0,47,14.6862
2025-08-11,Falabella,Fid,34184.62,33126.0,8237.79,26509.0,44181.0,26509.0,44181.0,42,24.0979
2025-08-11,Falabella,Hdi,36077.19,30385.0,6317.91,30385.0,44148.0,30385.0,44148.0,48,17.5122
2025-08-11,Falabella,Sura,33125.6,33811.0,6597.28,27057.0,43404.2,27057.0,46824.0,45,19.916
2025-08-11,Falabella,Zenit,42994.98,44625.0,7448.73,35710.0,51849.0,35710.0,51849.0,44,17.3247
2025-08-11,Falabella,Zurich,30019.49,25726.0,4805.37,25726.0,36186.0,25726.0,36186.0,47,16.0075
2025-08-11,Santander,Consorcio,51184.05,51188.0,6.69,51173.0,51188.0,51173.0,51188.0,38,0.0131
2025-08-11,Santander,Fid,42864.33,42868.0,5.61,42856.0,42868.0,42856.0,42868.0,36,0.0131
2025-08-11,Santander,Hdi,38471.03,38474.0,4.95,38463.0,38474.0,38463.0,38474.0,37,0.0129
2025-08-11,Santander,Mapfre,37838.18,37841.0,4.87,37830.0,37841.0,37830.0,37841.0,39,0.0129
2025-08-11,Santander,REALE,37274.18,37277.0,4.87,37266.0,37277.0,37266.0,37277.0,39,0.0131
2025-08-11,Santander,Sura,25560.95,25563.0,3.53,25555.0,25563.0,25555.0,25563.0,43,0.0138
2025-08-11,Santander,ZURICH,32817.69,32820.0,3.98,32811.0,32820.0,32811.0,32820.0,39,0.0121
2025-08-11,Santander,Zenit,26401.94,26404.0,3.24,26397.0,26404.0,26397.0,26404.0,34,0.0123
2025-08-12,Falabella,Bci,38851.11,38854.0,4.91,38843.0,38854.0,38843.0,38854.0,38,0.0126
2025-08-12,Falabella,Cardif,28066.12,27946.0,2065.2,27938.0,29200.6,20406.0,32128.0,48,7.3583
2025-08-12,Falabella,Consorcio,33023.23,33026.0,4.52,33016.0,33026.0,33016.0,33026.0,47,0.0137
2025-08-12,Falabella,Fid,26513.98,26516.0,3.21,26509.0,26516.0,26509.0,26516.0,45,0.0121
2025-08-12,Falabella,Hdi,30391.56,30394.0,4.04,30385.0,30394.0,30385.0,30394.0,48,0.0133
2025-08-12,Falabella,Sura,28129.55,27065.0,2196.25,27057.0,32614.6,27057.0,34996.0,47,7.8076
2025-08-12,Falabella,Zenit,35718.11,35721.0,4.91,35710.0,35721.0,35710.0,35721.0,38,0.0137
